element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,1,"=""5273.1632""","=""0.0008""","=""5273.1633""","=""0.0004""","=""7800""","=""8.12e+06""",B,"=""26550.479""","=""45509.152""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""0""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""1""",,"=""T6110""","=""L11631""",
Fe,2,"=""5273.363""","=""""","=""5273.3634""","=""0.0003""","="":""","=""4.72e-01""",C+,"=""1872.5998""","=""20830.5534""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""",E2,"=""T9588,T10588c104""","=""L22747,L22760""",
Fe,1,"=""5273.3732""","=""0.0008""","=""5273.3727""","=""0.0006""","=""3160""","=""5.55e+05""",D,"=""20037.816""","=""38995.736""","=""3d6.4s2""","=""a 3P2""","=""0""","=""3d7.(4F).4p""","=""y 3D*""","=""1""",,"=""T5720""","=""L11631""",
Cr,1,"=""5273.4250""","=""0.0006""","=""5273.4250""","=""0.0004""","=""28""","=""""",,"=""27825.3207""","=""46783.0528""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""5""","=""3d4.4s.5s""","=""f 7D""","=""4""",,"=""""","=""L14866""",
Fe,2,"=""5274.531""","=""0.007""","=""5274.5277""","=""0.0005""","=""3.3""","=""""",,"=""104064.664""","=""123018.433""","=""3d6.(3H).4d""","=""4I""","=""13/2""","=""3d6.(3H<6>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5274.981""","=""0.004""","=""5274.9807""","=""0.0004""","=""155""","=""""",,"=""32873.632""","=""51825.773""","=""3d8""","=""c 3F""","=""4""","=""3d7.(2H).4p""","=""u 3G*""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""5275.1736""","=""0.0003""","=""5275.17400""","=""0.00022""","=""100""","=""""",,"=""27222.9417""","=""46174.3884""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d5.(4P).4p""","=""y 3D*""","=""3""",,"=""""","=""L14866""",
Cr,1,"=""5275.2747""","=""0.0003""","=""5275.27490""","=""0.00022""","=""150""","=""""",,"=""23305.0026""","=""42256.0868""","=""3d5.(6S).4p""","=""z 7P*""","=""2""","=""3d5.(6S).4d""","=""e 7D""","=""3""",,"=""""","=""L14866""",
Cr,1,"=""5275.7463""","=""0.0003""","=""5275.74647""","=""0.00022""","=""220""","=""""",,"=""23305.0026""","=""42254.3929""","=""3d5.(6S).4p""","=""z 7P*""","=""2""","=""3d5.(6S).4d""","=""e 7D""","=""2""",,"=""""","=""L14866""",
Fe,2,"=""5275.9968""","=""0.0009""","=""5275.9969""","=""0.0003""","=""500""","=""3.8e+05""",C,"=""25805.3270""","=""44753.8179""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""",,"=""T7589""","=""L18349c139""",
Cr,1,"=""5276.0670""","=""0.0003""","=""5276.0670""","=""0.0003""","=""250""","=""""",,"=""23305.0026""","=""42253.2416""","=""3d5.(6S).4p""","=""z 7P*""","=""2""","=""3d5.(6S).4d""","=""e 7D""","=""1""",,"=""""","=""L14866""",
Fe,2,"=""5278.229""","=""0.004""","=""5278.2298""","=""0.0004""","=""50""","=""2.3e+06""",D+,"=""84424.422""","=""103364.897""","=""3d6.(5D).4d""","=""6P""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5278.235""","=""0.012""","=""5278.2469""","=""0.0011""","=""40""","=""""",,"=""36034.1524""","=""54974.566""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d4.4s.5s""","=""e 3D""","=""2""",,"=""""","=""L9190""",
Fe,2,"=""5278.381""","=""""","=""5278.3809""","=""0.0004""","="":""","=""8.2e-02""",D+,"=""8680.4706""","=""27620.4033""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3F2).4s""","=""a 2F""","=""5/2""",M1,"=""T9588c100""","=""L22760""",
Fe,1,"=""5278.580""","=""0.006""","=""5278.5743""","=""0.0004""","=""79""","=""""",,"=""26623.735""","=""45562.974""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d6.(3H).4s.4p.(3P*)""","=""y 3G*""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""""","=""""","=""5280.2682""","=""0.0004""","=""""","=""2.1e-03""",E,"=""1872.5998""","=""20805.7632""","=""3d7""","=""a 4F""","=""9/2""","=""3d7""","=""a 2H""","=""9/2""",M1,"=""T9588c100""","=""""",
Cr,1,"=""5280.2814""","=""0.0006""","=""5280.2817""","=""0.0003""","=""29""","=""""",,"=""27176.1072""","=""46109.2219""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d5.(4P).4p""","=""y 3D*""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""5280.3616""","=""0.0008""","=""5280.3609""","=""0.0004""","=""540""","=""7.27e+05""",C+,"=""29371.812""","=""48304.643""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d7.(4P).4p""","=""x 3P*""","=""2""",,"=""T5720""","=""L11631""",
Fe,2,"=""5280.932""","=""0.004""","=""5280.9327""","=""0.0003""","=""40""","=""1.3e+06""",D+,"=""84938.265""","=""103869.046""","=""3d6.(5D).4d""","=""e 6G""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5281.630""","=""0.006""","=""5281.6299""","=""0.0009""","=""850bl""","=""""",,"=""40594.432""","=""59522.714""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""4""","=""3d6.4s.(4D).4d""","=""3F""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""5281.7900""","=""0.0008""","=""5281.7895""","=""0.0004""","=""15800""","=""5.00e+06""",B,"=""24506.917""","=""43434.627""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""3""",,"=""T5720""","=""L11631""",
Fe,2,"=""5282.275""","=""0.017""","=""5282.2754""","=""0.0011""","=""1.7""","=""""",,"=""104064.664""","=""122990.633""","=""3d6.(3H).4d""","=""4I""","=""13/2""","=""3d6.(3H<6>).4f""","=""2[7]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5283.0839""","=""0.0015""","=""5283.0838""","=""0.0005""","=""15""","=""""",,"=""104315.373""","=""123238.446""","=""3d6.(3H).4d""","=""2K""","=""13/2""","=""3d6.(3H<5>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5283.115""","=""""","=""5283.1145""","=""0.0004""","="":""","=""1.33e-01""",D,"=""8391.9554""","=""27314.9183""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F2).4s""","=""a 2F""","=""7/2""",M1,"=""T9588c104""","=""L22760""",
Fe,1,"=""5283.6207""","=""0.0008""","=""5283.6207""","=""0.0004""","=""33900""","=""1.02e+07""",B,"=""26140.179""","=""45061.329""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""",,"=""T5720""","=""L11631""",
Fe,2,"=""5284.073""","=""0.005""","=""5284.0707""","=""0.0003""","=""50""","=""1.7e+06""",D+,"=""84938.265""","=""103857.804""","=""3d6.(5D).4d""","=""e 6G""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5284.092""","=""0.015""","=""5284.10322""","=""0.00023""","=""90""","=""1.9e+04""",E,"=""23317.6351""","=""42237.0575""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(5D).4p""","=""z 6F*""","=""7/2""",,"=""T6892c83""","=""L7357,L15071""",
Fe,1,"=""5284.4245""","=""0.0008""","=""5284.4245""","=""0.0004""","=""660""","=""8.29e+04""",C+,"=""29313.008""","=""48231.280""","=""3d6.4s2""","=""a 1I""","=""6""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""5""",,"=""T5720""","=""L11631""",
Fe,1,"=""5284.6083""","=""0.0022""","=""5284.6084""","=""0.0004""","=""214""","=""""",,"=""33765.306""","=""52682.920""","=""3d8""","=""c 3F""","=""2""","=""3d7.(2D2).4p""","=""t 3D*""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""5285.1282""","=""0.0022""","=""5285.1269""","=""0.0004""","=""214""","=""6.4e+05""",E,"=""35767.564""","=""54683.322""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,"=""T2578n""","=""L11631""",
Cr,1,"=""5285.37""","=""0.03""","=""5285.3845""","=""0.0020""","=""7""","=""""",,"=""35884.255""","=""54799.091""","=""3d5.(2H).4s""","=""b 3H""","=""5""","=""3d4.(3H).4s.4p.(1P*)""","=""w 3H*""","=""5""",,"=""""","=""L808""",
Cr,1,"=""5285.6360""","=""0.0014""","=""5285.6365""","=""0.0004""","=""10""","=""""",,"=""27163.1052""","=""46077.0395""","=""3d5.(4P).4s""","=""b 3P""","=""0""","=""3d5.(4P).4p""","=""y 3D*""","=""1""",,"=""""","=""L14866""",
Cr,1,"=""5287.1780""","=""0.0014""","=""5287.1780""","=""0.0003""","=""12""","=""4.22e+06""",B,"=""27728.8110""","=""46637.2307""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""2""","=""3d4.4s.5s""","=""f 7D""","=""3""",,"=""u10""","=""L14866""",
Cr,1,"=""5287.63""","=""0.06""","=""5287.618""","=""0.014""","=""10w""","=""""",,"=""35897.7833""","=""54804.63""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d4.4s.5s""","=""e 3D""","=""1""",,"=""""","=""L808""",
Cr,1,"=""5288.11""","=""0.03""","=""5288.0931""","=""0.0006""","=""7""","=""""",,"=""27176.1072""","=""46081.255""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""0""",,"=""""","=""L808""",
Fe,1,"=""5288.5243""","=""0.0008""","=""5288.5264""","=""0.0004""","=""2190""","=""8.22e+05""",B,"=""29798.936""","=""48702.535""","=""3d6.4s2""","=""b 1G2""","=""4""","=""3d6.(3H).4s.4p.(3P*)""","=""y 1G*""","=""4""",,"=""T5720""","=""L11631""",
Cr,1,"=""5289.271""","=""0.003""","=""5289.2725""","=""0.0004""","=""4""","=""""",,"=""27176.1072""","=""46077.0395""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d5.(4P).4p""","=""y 3D*""","=""1""",,"=""""","=""L14866""",
Fe,2,"=""5290.0882""","=""0.0009""","=""5290.0882""","=""0.0008""","=""21""","=""""",,"=""105763.286""","=""124661.304""","=""3d6.(3F2).4d""","=""2H""","=""11/2""","=""3d6.(3F2<3>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5290.547""","=""0.010""","=""5290.5381""","=""0.0005""","=""5""","=""""",,"=""94031.370""","=""112927.781""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""1/2""","=""3d5.(6S).4p2""","=""6P""","=""3/2""",,"=""""","=""L18349c139""",
Fe,1,"=""""","=""""","=""5290.7442""","=""0.0004""","=""""","=""2.2e-01""",E,"=""7728.060""","=""26623.735""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d7.(2D2).4s""","=""a 3D""","=""2""",M1,"=""T6409""","=""""",
Fe,2,"=""5291.6609""","=""0.0003""","=""5291.6610""","=""0.0003""","=""5000""","=""6.9e+07""",B+,"=""84527.806""","=""103420.207""","=""3d6.(5D).4d""","=""e 6G""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5292.8021""","=""0.0014""","=""5292.8002""","=""0.0008""","=""40""","=""""",,"=""95046.177""","=""113934.512""","=""3d6.(3F1).4p""","=""2F*""","=""5/2""","=""3d6.(5D).6d""","=""6D""","=""5/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5292.857""","=""0.002""","=""5292.8581""","=""0.0003""","=""7""","=""""",,"=""27816.7783""","=""46704.9067""","=""3d4.4s2""","=""b 3G""","=""5""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""5""",,"=""""","=""L14866""",
Fe,1,"=""5293.029""","=""0.004""","=""5293.0319""","=""0.0004""","=""89""","=""1.0e+05""",E,"=""35379.208""","=""54266.716""","=""3d7.(4F).4p""","=""z 3G*""","=""5""","=""3d7.(4F).4d""","=""e 3H""","=""5""",,"=""T2578n""","=""L11631""",
Cr,1,"=""5293.3761""","=""0.0014""","=""5293.3760""","=""0.0003""","=""11""","=""2.1e+06""",D,"=""27222.9417""","=""46109.2219""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d5.(4P).4p""","=""y 3D*""","=""2""",,"=""T4288""","=""L14866""",
Fe,1,"=""5293.9585""","=""0.0022""","=""5293.9583""","=""0.0006""","=""245""","=""6.9e+05""",E,"=""33412.717""","=""52296.920""","=""3d8""","=""c 3F""","=""3""","=""3d7.(2P).4p""","=""u 3D*""","=""2""",,"=""T2578n""","=""L11631""",
Fe,1,"=""5294.5478""","=""0.0022""","=""5294.5471""","=""0.0004""","=""89""","=""7.3e+04""",E,"=""29356.744""","=""48238.847""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""2""",,"=""T2578n""","=""L11631""",
Fe,1,"=""5295.3118""","=""0.0022""","=""5295.3124""","=""0.0004""","=""234""","=""7.3e+05""",E,"=""35611.625""","=""54490.999""","=""3d7.(4F).4p""","=""z 5G*""","=""3""","=""3d7.(4F).4d""","=""e 5H""","=""3""",,"=""T2578n""","=""L11631""",
Fe,2,"=""5296.421""","=""0.003""","=""5296.4200""","=""0.0005""","=""4""","=""""",,"=""108648.712""","=""127524.138""","=""3d6.(1I).5s""","=""2I""","=""13/2""","=""3d6.(3G<5>).4f""","=""2[8]*""","=""15/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5296.6905""","=""0.0003""","=""5296.69109""","=""0.00017""","=""2100""","=""3.1e+06""",B,"=""7927.4410""","=""26801.9009""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d5.(6S).4p""","=""z 5P*""","=""1""",,"=""T4624,T4913""","=""L14866""",
Fe,2,"=""5296.844""","=""""","=""5296.8438""","=""0.0004""","="":""","=""1.112e-01""",C+,"=""2837.9807""","=""21711.8963""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""",E2,"=""T9588,T10588c104""","=""L22747,L22760""",
Cr,1,"=""5297.3762""","=""0.0003""","=""5297.37623""","=""0.00020""","=""460""","=""3.88e+07""",B,"=""23386.3419""","=""42258.3607""","=""3d5.(6S).4p""","=""z 7P*""","=""3""","=""3d5.(6S).4d""","=""e 7D""","=""4""",,"=""u10""","=""L14866""",
Cr,1,"=""5298.0143""","=""0.0003""","=""5298.01460""","=""0.00020""","=""340""","=""3.0e+07""",D,"=""23386.3419""","=""42256.0868""","=""3d5.(6S).4p""","=""z 7P*""","=""3""","=""3d5.(6S).4d""","=""e 7D""","=""3""",,"=""T4288""","=""L14866""",
Cr,1,"=""5298.2715""","=""0.0003""","=""5298.27202""","=""0.00014""","=""3540""","=""3.3e+06""",B,"=""7927.4410""","=""26796.2691""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d5.(6S).4p""","=""z 5P*""","=""2""",,"=""T4624,T4913""","=""L14866""",
Cr,1,"=""5298.4900""","=""0.0003""","=""5298.49024""","=""0.00020""","=""110""","=""""",,"=""23386.3419""","=""42254.3929""","=""3d5.(6S).4p""","=""z 7P*""","=""3""","=""3d5.(6S).4d""","=""e 7D""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""5298.7755""","=""0.0008""","=""5298.7756""","=""0.0004""","=""363""","=""4.58e+05""",C+,"=""29371.812""","=""48238.847""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""2""",,"=""T5720""","=""L11631""",
Fe,2,"=""5298.8574""","=""0.0003""","=""5298.8573""","=""0.0003""","=""600""","=""1.17e+07""",C+,"=""84844.866""","=""103711.610""","=""3d6.(5D).4d""","=""e 6G""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""""","=""""","=""5298.8873""","=""0.0012""","=""""","=""3.7e-02""",E,"=""18360.6399""","=""37227.277""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(1S2).4s""","=""a 2S""","=""1/2""",M1+E2,"=""T8961""","=""""",
Fe,1,"=""5298.949""","=""0.006""","=""5298.9452""","=""0.0009""","=""200""","=""""",,"=""39625.804""","=""58492.235""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.4s.(4D).4d""","=""3G""","=""5""",,"=""""","=""L11631""",
Cr,1,"=""5300.7451""","=""0.0003""","=""5300.74563""","=""0.00014""","=""530""","=""2.5e+05""",B,"=""7927.4410""","=""26787.4640""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d5.(6S).4p""","=""z 5P*""","=""3""",,"=""T4624,T4913""","=""L14866""",
Fe,1,"=""5302.299""","=""""","=""5302.3001""","=""0.0004""","=""25""","=""9.04e+06""",B,"=""26479.381""","=""45333.875""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""2""",,"=""T5783""","=""L2637""",
Fe,2,"=""5302.5366""","=""0.0011""","=""5302.5377""","=""0.0003""","=""140""","=""5.0e+06""",D+,"=""84844.866""","=""103698.515""","=""3d6.(5D).4d""","=""e 6G""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""""","=""""","=""5303.9944""","=""0.0004""","=""""","=""4.6e-01""",E,"=""704.007""","=""19552.478""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.4s2""","=""a 3P2""","=""1""",M1,"=""T6409""","=""""",
Fe,1,"=""""","=""""","=""5304.0693""","=""0.0004""","=""""","=""1.8e-01""",E,"=""7376.764""","=""26224.969""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d7.(2D2).4s""","=""a 3D""","=""3""",M1,"=""T6409""","=""""",
Cr,1,"=""5304.1796""","=""0.0008""","=""5304.1800""","=""0.0004""","=""19""","=""5.35e+06""",B,"=""27935.2412""","=""46783.0528""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""4""","=""3d4.4s.5s""","=""f 7D""","=""4""",,"=""u10""","=""L14866""",
Fe,1,"=""5304.761""","=""0.006""","=""5304.7608""","=""0.0009""","=""372bl""","=""""",,"=""40231.336""","=""59077.084""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""""","=""59077e""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""5305.4221""","=""0.0005""","=""5305.4221""","=""0.0006""","=""32bl(Fe I)""","=""""",,"=""109049.611""","=""127893.010""","=""3d6.(3G).4d""","=""2I""","=""13/2""","=""3d6.(3G<4>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5305.4223""","=""0.0008""","=""5305.4162""","=""0.0004""","=""620""","=""""",,"=""29320.026""","=""48163.446""","=""3d6.4s2""","=""b 3D""","=""1""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""5306.1820""","=""0.0003""","=""5306.1824""","=""0.0004""","=""1600""","=""3.28e+07""",B+,"=""84870.911""","=""103711.610""","=""3d6.(5D).4d""","=""f 4D""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5307.275""","=""0.002""","=""5307.2758""","=""0.0004""","=""6""","=""""",,"=""29824.6909""","=""48661.5083""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""3""","=""3d4.4s.5s""","=""f 5D""","=""3""",,"=""""","=""L14866""",
Fe,1,"=""5307.3607""","=""0.0008""","=""5307.3605""","=""0.0004""","=""7800""","=""3.48e+04""",A,"=""12968.554""","=""31805.071""","=""3d7.(4F).4s""","=""a 3F""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""",,"=""T3831""","=""L11631""",
Fe,2,"=""5308.3523""","=""0.0009""","=""5308.3522""","=""0.0004""","=""29""","=""""",,"=""104119.740""","=""122952.738""","=""3d6.(3H).4d""","=""2K""","=""15/2""","=""3d6.(3H<6>).4f""","=""2[9]*""","=""17/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5308.70""","=""0.03""","=""5308.6876""","=""0.0011""","=""4""","=""""",,"=""31352.3828""","=""50184.191""","=""3d5.(4F).4s""","=""a 5F""","=""1""","=""3d5.(4D).4p""","=""w 3D*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""5309.469""","=""0.004""","=""5309.4660""","=""0.0008""","=""10""","=""""",,"=""33762.6622""","=""52591.7094""","=""3d5.(2I).4s""","=""b 1I""","=""6""","=""3d4.(1I).4s.4p.(3P*)""","=""y 3I*""","=""5""",,"=""""","=""L9190""",
Fe,2,"=""5309.8705""","=""0.0012""","=""5309.8730""","=""0.0003""","=""170""","=""4.4e+06""",D+,"=""84870.911""","=""103698.515""","=""3d6.(5D).4d""","=""f 4D""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5310.488""","=""0.003""","=""5310.4859""","=""0.0014""","=""5""","=""""",,"=""109049.611""","=""127875.042""","=""3d6.(3G).4d""","=""2I""","=""13/2""","=""3d6.(3G<4>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5310.6301""","=""0.0009""","=""5310.6309""","=""0.0003""","=""160""","=""5.8e+06""",C+,"=""84527.806""","=""103352.723""","=""3d6.(5D).4d""","=""e 6G""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5311.9092""","=""0.0017""","=""5311.9081""","=""0.0003""","=""110""","=""5.6e+06""",D+,"=""85048.655""","=""103869.046""","=""3d6.(5D).4d""","=""f 4D""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5312.8557""","=""0.0006""","=""5312.8560""","=""0.0003""","=""27""","=""9.26e+06""",B,"=""27820.1975""","=""46637.2307""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""3""","=""3d4.4s.5s""","=""f 7D""","=""3""",,"=""u10""","=""L14866""",
Fe,2,"=""5313.0996""","=""0.0005""","=""5313.0991""","=""0.0003""","=""340""","=""7.5e+06""",C+,"=""84844.866""","=""103661.038""","=""3d6.(5D).4d""","=""e 6G""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5314.0243""","=""0.0010""","=""5314.0252""","=""0.0004""","=""180bl(Fe I)""","=""3.8e+06""",D+,"=""84527.806""","=""103340.699""","=""3d6.(5D).4d""","=""e 6G""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
Fe,1,"=""5314.0246""","=""0.0023""","=""5314.0198""","=""0.0012""","=""288""","=""""",,"=""42911.917""","=""61724.829""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""5""","=""""","=""61724e""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""5315.0804""","=""0.0004""","=""5315.0830""","=""0.0003""","=""700""","=""1.50e+07""",C+,"=""85048.655""","=""103857.804""","=""3d6.(5D).4d""","=""f 4D""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c145""",
Fe,1,"=""5315.771""","=""0.006""","=""5315.7745""","=""0.0004""","=""141""","=""""",,"=""29356.744""","=""48163.446""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""5315.9904""","=""0.0016""","=""5315.9908""","=""0.0003""","=""90""","=""2.2e+06""",D+,"=""84870.911""","=""103676.848""","=""3d6.(5D).4d""","=""f 4D""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5316.2139""","=""0.0003""","=""5316.2138""","=""0.0003""","=""4000""","=""3.69e+07""",B+,"=""84035.172""","=""102840.320""","=""3d6.(5D).4d""","=""e 6G""","=""13/2""","=""3d6.(5D<4>).4f""","=""2[6]*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5316.6098""","=""0.0004""","=""5316.6089""","=""0.0003""","=""1200""","=""3.9e+05""",C,"=""25428.7893""","=""44232.5398""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(5D).4p""","=""z 4F*""","=""9/2""",,"=""T7589""","=""L18349c139""",
Fe,2,"=""5316.777""","=""0.015""","=""5316.78133""","=""0.00020""","=""260""","=""6.e+04""",E,"=""25981.6451""","=""44784.7859""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(5D).4p""","=""z 4D*""","=""5/2""",,"=""T6892c83""","=""L7357""",
Fe,2,"=""5317.561""","=""0.003""","=""5317.5593""","=""0.0003""","=""70""","=""2.4e+06""",D+,"=""84844.866""","=""103645.256""","=""3d6.(5D).4d""","=""e 6G""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5318.0545""","=""0.0003""","=""5318.0546""","=""0.0003""","=""900""","=""1.40e+07""",C+,"=""84527.806""","=""103326.445""","=""3d6.(5D).4d""","=""e 6G""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5318.7387""","=""0.0006""","=""5318.7387""","=""0.0003""","=""330bl(Fe II)*""","=""5.6e+06""",C+,"=""84035.172""","=""102831.393""","=""3d6.(5D).4d""","=""e 6G""","=""13/2""","=""3d6.(5D<4>).4f""","=""2[5]*""","=""11/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""5318.7387""","=""0.0006""","=""5318.7387""","=""0.0003""","=""330bl(Fe II)*""","=""""",,"=""94685.083""","=""113481.304""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(5D).7s""","=""4D""","=""3/2""",,"=""""","=""L18349c148""",
Cr,1,"=""5318.7707""","=""0.0008""","=""5318.7708""","=""0.0004""","=""21""","=""9.67e+06""",B,"=""27728.8110""","=""46524.9187""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""2""","=""3d4.4s.5s""","=""f 7D""","=""2""",,"=""u10""","=""L14866""",
